,village_name,school,hospital,park,retail
973,湾头村委会,30,16,6,22
974,东风村委会,20,6,2,23
975,院庄村委会,19,6,2,23
976,安柴村委会,36,23,0,48
977,东鲁村委会,32,11,0,46
978,杭屯村委会,29,11,0,23
979,张家村委会,5,2,0,3
980,东赵冯村委会,25,11,0,29
981,西赵冯村委会,25,11,0,27
982,老官村委会,44,14,0,52
983,大程村委会,17,9,0,23
984,王海一村村委会,17,9,0,23
985,王海二村村委会,12,9,0,24
986,王海三村村委会,11,9,0,23
987,王桥村委会,19,8,0,18
988,初桥村委会,36,14,0,62
989,义和村委会,31,13,0,65
990,城外李村委会,32,13,0,67
991,李韩村委会,31,14,0,71
992,付元村委会,19,6,2,22
993,南吴村委会,8,0,0,11
994,赵马村委会,16,11,0,25
995,赵赵村委会,11,2,1,19
996,官厂村委会,15,9,0,30
997,柳白村委会,20,6,2,22
998,柳舒村委会,37,23,0,41
999,姜韩村委会,20,6,2,23
1000,寨郝村委会,30,13,0,30
1001,伊家楼村委会,324,66,25,245
1002,东域城村委会,256,58,9,222
1003,西域城村委会,303,65,11,234
1004,三杨村委会,22,7,0,33
1005,东城村委会,53,10,2,46
1006,深沥村民委员会,131,8,3,301
1007,阵村村民委员会,155,10,4,357
1008,上南村民委员会,149,12,3,421
1009,刘屋村民委员会,146,12,6,437
1010,高头村民委员会,159,14,5,394
1011,李屋村民委员会,172,15,5,421
1012,寮仔村民委员会,45,2,2,99
1013,湖山村民委员会,318,25,15,694
1014,中岗村民委员会,146,9,11,390
1015,鸾岗村民委员会,95,2,5,219
1016,铁场村民委员会,68,2,3,184
1017,达士营村民委员会,78,14,5,43
1018,白塔村民委员会,158,30,8,84
1019,八里营村民委员会,740,110,14,340
1020,李村村民委员会,260,32,9,154
1021,段先屯村民委员会,63,14,0,60
1022,张武店村民委员会,42,7,5,31
1023,堡上村民委员会,29,2,2,15
1024,北龙湾村委会,655,113,13,366
1025,小李村村委会,455,87,6,339
1026,八里一村委会,820,126,17,403
1027,魏家村村委会,41,4,1,42
1028,陈家河村委会,495,80,15,292
1029,营东村委会,235,43,2,223
1030,营西村委会,224,34,1,176
1031,下疃村委会,40,8,1,74
1032,女儿村村委会,21,4,1,33
1033,七级东南村委会,18,6,0,45
